Comune,Provincia,Regione
Besnate,VA,Lombardia
Besozzo,VA,Lombardia
Bisuschio,VA,Lombardia
Bodio Lomnago,VA,Lombardia
Bologna,VA,Lombardia
Brebbia,VA,Lombardia
Bregano,VA,Lombardia
Brinzio,VA,Lombardia
Brusimpiano,VA,Lombardia
Buguggiate,VA,Lombardia
Busto Arsizio,VA,Lombardia
Cairate,VA,Lombardia
Cantello,VA,Lombardia
Caravate,VA,Lombardia
Cardano al Campo,VA,Lombardia
Carnago,VA,Lombardia
Caronno Pertusella,VA,Lombardia
Casale Litta,VA,Lombardia
Casalzuigno,VA,Lombardia
Casciago,VA,Lombardia
Cassano Magnago,VA,Lombardia
Castellanza,VA,Lombardia
Castello Cabiaglio,VA,Lombardia
Castelseprio,VA,Lombardia
Castelveccana,VA,Lombardia
Castiglione Olona,VA,Lombardia
Cavaria con Premezzo,VA,Lombardia
Cazzago Brabbia,VA,Lombardia
Cislago,VA,Lombardia
Cittiglio,VA,Lombardia
Clivio,VA,Lombardia
Cocquio-Trevisago,VA,Lombardia
Comabbio,VA,Lombardia
Comerio,VA,Lombardia
Cremenaga,VA,Lombardia
Crosio della Valle,VA,Lombardia
Cuasso al Monte,VA,Lombardia
Cugliate-Fabiasco,VA,Lombardia
Cunardo,VA,Lombardia
Curiglia con Monteviasco,VA,Lombardia
Cuveglio,VA,Lombardia
Cuvio,VA,Lombardia
Daverio,VA,Lombardia
Dumenza,VA,Lombardia
Duno,VA,Lombardia
Fagnano Olona,VA,Lombardia
Ferrera di Varese,VA,Lombardia
Firenze,VA,Lombardia
Gallarate,VA,Lombardia
Gavirate,VA,Lombardia
Gazzada Schianno,VA,Lombardia
Gemonio,VA,Lombardia
Genova,VA,Lombardia
Gerenzano,VA,Lombardia
Germignaga,VA,Lombardia
Golasecca,VA,Lombardia
Gorla Maggiore,VA,Lombardia
Gorla Minore,VA,Lombardia
Gornate-Olona,VA,Lombardia
Grantola,VA,Lombardia
Inarzo,VA,Lombardia
Induno Olona,VA,Lombardia
Ispra,VA,Lombardia
Jerago con Orago,VA,Lombardia
Lavena Ponte Tresa,VA,Lombardia
Laveno-Mombello,VA,Lombardia
Leggiuno,VA,Lombardia
Lonate Pozzolo,VA,Lombardia
Lozza,VA,Lombardia
Luino,VA,Lombardia
Maccagno con Pino e Veddasca,VA,Lombardia
Malgesso,VA,Lombardia
Malnate,VA,Lombardia
Marchirolo,VA,Lombardia
Marnate,VA,Lombardia
Marzio,VA,Lombardia
Masciago Primo,VA,Lombardia
Mercallo,VA,Lombardia
Mesenzana,VA,Lombardia
Milano,VA,Lombardia
Montegrino Valtravaglia,VA,Lombardia
Monvalle,VA,Lombardia
Morazzone,VA,Lombardia
Mornago,VA,Lombardia
Napoli,VA,Lombardia
Oggiona con Santo Stefano,VA,Lombardia
Olgiate Olona,VA,Lombardia
Origgio,VA,Lombardia
Orino,VA,Lombardia
Osmate,VA,Lombardia
Porto Ceresio,VA,Lombardia
Porto Valtravaglia,VA,Lombardia
Rancio Valcuvia,VA,Lombardia
Ranco,VA,Lombardia
Roma,VA,Lombardia
Saltrio,VA,Lombardia
Samarate,VA,Lombardia
Sangiano,VA,Lombardia
Saronno,VA,Lombardia
Sesto Calende,VA,Lombardia
Solbiate Arno,VA,Lombardia
Solbiate Olona,VA,Lombardia
Somma Lombardo,VA,Lombardia
Sumirago,VA,Lombardia
Taino,VA,Lombardia
Ternate,VA,Lombardia
Torino,VA,Lombardia
Tradate,VA,Lombardia
Travedona-Monate,VA,Lombardia
Tronzano Lago Maggiore,VA,Lombardia
Uboldo,VA,Lombardia
Valganna,VA,Lombardia
Varano Borghi,VA,Lombardia
Varese,VA,Lombardia
Vedano Olona,VA,Lombardia
Venegono Inferiore,VA,Lombardia
Venegono Superiore,VA,Lombardia
Venezia,VA,Lombardia
Vergiate,VA,Lombardia
Viggiu,VA,Lombardia
Vizzola Ticino,VA,Lombardia
